		
"normalized area, average for each treatment"		
		
 GeoID 	  Average Bare  	 Average Bare 
comp115239_c0_seq1	 0.002893 	 0.001322 
comp115265_c0_seq1	 0.075874 	 0.062287 
comp115307_c0_seq1	 0.000919 	 0.001406 
comp115339_c1_seq1	 0.014065 	 0.014327 
comp115363_c0_seq1	 0.005330 	 0.005600 
comp115363_c0_seq3	 0.003397 	 0.003268 
comp115518_c0_seq1	 0.011104 	 0.006834 
comp115518_c0_seq3	 0.011104 	 0.006834 
comp115518_c0_seq4	 0.011104 	 0.006834 
comp115518_c0_seq5	 0.011104 	 0.006834 
comp115555_c0_seq1	 0.003352 	 0.001923 
comp115600_c0_seq1	 0.052032 	 0.057741 
comp115600_c0_seq2	 0.081212 	 0.078803 
comp115685_c1_seq1	 0.004639 	 0.004427 
comp115726_c0_seq2	 0.023925 	 0.024249 
comp115740_c0_seq1	 0.007304 	 0.007261 
comp115807_c0_seq1	 0.003089 	 0.007423 
comp115807_c0_seq2	 0.003089 	 0.007423 
comp115807_c0_seq3	 0.003089 	 0.007423 
comp115857_c0_seq1	 0.000576 	 0.001126 
comp115873_c0_seq1	 0.043392 	 0.060550 
comp115901_c0_seq1	 0.006131 	 0.005094 
comp115919_c0_seq1	 0.077019 	 0.070375 
comp115947_c0_seq1	 3.446721 	 3.519450 
comp115977_c0_seq1	 0.005094 	 0.003702 
comp115997_c0_seq1	 0.173196 	 0.164202 
comp116041_c0_seq2	 0.003619 	 0.000406 
comp116041_c0_seq3	 0.003619 	 0.000406 
comp116081_c0_seq1	 0.000372 	 0.000292 
comp116084_c0_seq1	 0.007572 	 0.009675 
comp116149_c1_seq1	 0.005408 	 0.007100 
comp116156_c0_seq1	 0.010358 	 0.002799 
comp116267_c0_seq1	 0.000746 	 0.001120 
comp116351_c0_seq1	 0.029423 	 0.033939 
comp116443_c0_seq1	 0.170131 	 0.161676 
comp116459_c0_seq1	 0.641656 	 0.710971 
comp116478_c0_seq1	 0.291799 	 0.298762 
comp116486_c0_seq1	 0.040965 	 0.036677 
comp116509_c0_seq1	 0.004059 	 0.003968 
comp116538_c0_seq1	 0.014678 	 0.013410 
comp116612_c0_seq1	 0.401589 	 0.387767 
comp116618_c0_seq1	 1.780489 	 1.868448 
comp116621_c0_seq1	 0.369069 	 0.170489 
comp116623_c0_seq1	 0.168995 	 0.175068 
comp116626_c0_seq1	 0.638833 	 0.616907 
comp116629_c0_seq1	 0.270247 	 0.293256 
comp116630_c0_seq1	 0.507222 	 0.558297 
comp116635_c0_seq1	 5.353751 	 5.019333 
comp116636_c0_seq1	 0.359036 	 0.339681 
comp116654_c0_seq1	 0.107648 	 0.110631 
comp116684_c0_seq1	 0.056428 	 0.053639 
comp116696_c0_seq1	 0.044500 	 0.043578 
comp116716_c0_seq1	 0.041617 	 0.025052 
comp116727_c0_seq1	 1.647665 	 1.598500 
comp116764_c0_seq2	 0.003121 	 0.004760 
comp116818_c0_seq2	 0.034835 	 0.029077 
comp116848_c0_seq1	 0.004280 	 0.002882 
comp116869_c0_seq1	 0.538237 	 0.452507 
comp116887_c0_seq1	 0.016541 	 0.009750 
comp116887_c0_seq2	 0.016541 	 0.009750 
comp116890_c1_seq1	 0.000942 	 0.001316 
comp116972_c0_seq1	 0.026198 	 0.027108 
comp117049_c0_seq2	 0.005290 	 0.004885 
comp117049_c0_seq3	 0.005290 	 0.004885 
comp117075_c0_seq1	 0.003235 	 0.000331 
comp117151_c0_seq1	 0.023455 	 0.029261 
comp117151_c1_seq1	 0.014010 	 0.017889 
comp117240_c0_seq1	 0.055840 	 0.057042 
comp117240_c0_seq2	 0.077254 	 0.080562 
comp117243_c1_seq2	 0.007062 	 0.004208 
comp117331_c0_seq1	 0.010778 	 0.012952 
comp117346_c2_seq1	 0.002223 	 0.003037 
comp117383_c0_seq1	 0.006884 	 0.006546 
comp117390_c0_seq1	 0.025458 	 0.028216 
comp117390_c0_seq2	 0.035359 	 0.038381 
comp117402_c0_seq1	 0.069725 	 0.060857 
comp117402_c0_seq2	 0.130962 	 0.118980 
comp117455_c0_seq1	 0.038012 	 0.033744 
comp117504_c0_seq1	 0.003473 	 0.003732 
comp117559_c0_seq1	 0.006428 	 0.005287 
comp117600_c0_seq1	 0.020978 	 0.025461 
comp117638_c0_seq1	 0.074657 	 0.083997 
comp117649_c0_seq1	 0.044693 	 0.045151 
comp117661_c0_seq2	 0.003464 	 0.004498 
comp117801_c0_seq1	 0.131537 	 0.127830 
comp117893_c0_seq2	 0.002265 	 0.006393 
comp117922_c0_seq1	 0.072655 	 0.080803 
comp117923_c0_seq1	 0.041097 	 0.037707 
comp117923_c1_seq1	 0.042425 	 0.037205 
comp117923_c1_seq2	 0.042425 	 0.037205 
comp117923_c2_seq2	 0.029232 	 0.025660 
comp117928_c0_seq1	 0.010910 	 0.007132 
comp117971_c3_seq1	 0.102969 	 0.099242 
comp117982_c0_seq1	 0.009526 	 0.010255 
comp118001_c0_seq1	 0.002030 	 0.001515 
comp118012_c0_seq1	 0.004678 	 0.013992 
comp118363_c0_seq1	 0.086372 	 0.098063 
comp118437_c0_seq1	 0.002840 	 0.002500 
comp118437_c1_seq1	 0.001652 	 0.001904 
comp118505_c0_seq1	 0.012180 	 0.011402 
comp118505_c0_seq2	 0.005645 	 0.005398 
comp118533_c0_seq1	 0.028618 	 0.038347 
comp118539_c0_seq1	 0.028043 	 0.035594 
comp118539_c0_seq2	 0.028043 	 0.035594 
comp118547_c0_seq1	 0.005177 	 0.005241 
comp118551_c0_seq1	 0.003126 	 0.003080 
comp118601_c3_seq1	 0.013852 	 0.013177 
comp118601_c4_seq1	 0.014222 	 0.013210 
comp118611_c1_seq1	 0.009410 	 0.009153 
comp118611_c1_seq2	 0.009410 	 0.009153 
comp118611_c1_seq3	 0.009410 	 0.009153 
comp118617_c0_seq1	 0.001169 	 0.001615 
comp118727_c0_seq1	 0.003500 	 0.005210 
comp118727_c0_seq2	 0.003500 	 0.005210 
comp118727_c0_seq3	 0.003500 	 0.005210 
comp118727_c0_seq4	 0.003500 	 0.005210 
comp118766_c0_seq1	 0.001249 	 0.002044 
comp118827_c0_seq1	 0.008778 	 0.004824 
comp118827_c1_seq1	 0.002768 	 0.003523 
comp118857_c1_seq1	 0.000221 	 0.000261 
comp118877_c1_seq1	 0.132793 	 0.137485 
comp118877_c1_seq2	 0.179559 	 0.188412 
comp118887_c0_seq1	 0.000904 	 0.001528 
comp118897_c0_seq1	 0.043479 	 0.028534 
comp118950_c3_seq1	 0.008925 	 0.006447 
comp118963_c0_seq1	 0.006300 	 0.002471 
comp118963_c0_seq2	 0.025335 	 0.017431 
comp118965_c0_seq1	 0.001341 	 0.003917 
comp118965_c1_seq1	 0.005798 	 0.013353 
comp118965_c2_seq1	 0.009591 	 0.013371 
comp118984_c0_seq1	 0.012153 	 0.013484 
comp119007_c0_seq1	 0.267517 	 0.215711 
comp119007_c1_seq1	 0.542135 	 0.449866 
comp119082_c0_seq1	 0.005574 	 0.004708 
comp119082_c3_seq1	 0.004553 	 0.003824 
comp119278_c0_seq1	 0.020488 	 0.023973 
comp119278_c0_seq2	 0.020488 	 0.023973 
comp119303_c0_seq1	 0.006907 	 0.006268 
comp119352_c0_seq1	 0.200270 	 0.293277 
comp119352_c0_seq2	 0.200270 	 0.293277 
comp119440_c0_seq1	 0.021481 	 0.017093 
comp119443_c1_seq1	 0.008808 	 0.009099 
comp119527_c0_seq3	 0.075415 	 0.055901 
comp119573_c0_seq1	 0.152229 	 0.137135 
comp119655_c0_seq1	 0.004908 	 0.001792 
comp119655_c0_seq2	 0.006109 	 0.004832 
comp119719_c0_seq1	 0.001323 	 0.000832 
comp119754_c0_seq1	 0.011528 	 0.014461 
comp119780_c0_seq1	 0.091242 	 0.092953 
comp119821_c0_seq1	 0.001053 	 0.003255 
comp119821_c0_seq2	 0.001053 	 0.003255 
comp119825_c0_seq1	 0.110547 	 0.109932 
comp119855_c0_seq2	 0.005008 	 0.005546 
comp119903_c0_seq1	 0.016870 	 0.014288 
comp119926_c0_seq1	 0.013491 	 0.014335 
comp119943_c0_seq1	 0.015337 	 0.012446 
comp119971_c0_seq2	 0.002442 	 0.002158 
comp119983_c1_seq1	 1.705435 	 1.748597 
